"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"statistics","ootime","killed","chain-prev","sat-like","20","true","true","CircularTrain-384.pnml","768","384","1536","0","tg,bs,hf","0.390","768","384","","","","","","","","","1796.94","3610040","","","","","","",
"performance","sigsegfault","sendinfo","chain-prev","sat-like","20","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","38.65","158668","","","","","","",
"performance","ootime","killed","bfs","sat-like","20","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","6.070","138","2348","","","","","","","","","1797.34","3131524","","","","","","",
"performance","ootime","killed","chain","sat-like","20","true","true","PolyORB-LF-S02-J06-T10-unfolded.pnml","844","1812","8302","0","tg,bs,hf","1.340","844","1812","","","","","","","","","1797.15","3166544","","","","","","",
"statistics","done","","bfs-prev","sat-like","20","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.010","65","97","2454","2454","0.110","31745","657","407","275","260","0.34","2891600","704","7432","11765","140","76246","91644",
"performance","oomem","mddtable","bfs-prev","sat-like","20","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.010","75","92","","","","","","","","","598.00","3940624","","","","","","",
"performance","done","","bfs","sat-like","20","true","true","2D8_gradient_10x10_10.pnml","100","684","1368","0","tg,bs,hf","0.020","100","684","20420","20420","13.320","42634215112710","6490","58140","52668","45144","13.38","2931204",
"performance","error","boostperm","chain-prev","sat-like","20","true","true","eratosthenes-200.pnml","199","699","2097","0","tg,bs,hf","","","","","","","","","","","","0.11","8376","","","","","","",
"performance","ootime","killed","bfs","sat-like","20","true","true","PolyORB-LF-S02-J04-T08-unfolded.pnml","614","1242","5732","0","tg,bs,hf","0.660","614","1242","","","","","","","","","1796.85","3042468","","","","","","",
"performance","oomem","mddtable","bfs","sat-like","20","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","1097.34","3946612","","","","","","",
"performance","ootime","killed","bfs","sat-like","20","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1789.42","3932504","","","","","","",
