"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain-prev","sat-loop","2147483647","adding.4","dve2C","tg,bs,hf","0.000","","","","","","5","6","198","198","214.660","3370680","1558043","377747","1538126","1842300","215.22","3828068","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","brp2.3","dve2C","tg,bs,hf","0.000","","","","","","19","33","4092","4092","2.890","40184","26573","3700","6038","15031","2.90","2901176","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","phils.2","dve2C","tg,bs,hf","0.000","","","","","","11","30","390","390","0.010","581","148","150","227","290","0.01","2800688","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","lifts.3","dve2C","tg,bs,hf","0.010","","","","","","29","201","26331","26331","7.230","30772","22676","2824","31204","55466","7.27","2908044","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","needham.1","dve2C","tg,bs,hf","0.000","","","","","","14","55","880","880","0.010","497","322","370","1325","2057","0.01","2874520","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","fischer.6","dve2C","tg,bs,hf","0.000","","","","","","18","49","1617","1617","4.070","8321728","22420","306","802","392177","4.08","2925816","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","cyclic_scheduler.1","dve2C","tg,bs,hf","0.000","","","","","","32","48","2640","2640","0.050","4606","221","218","450","352","0.05","2893100","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","rether.1","dve2C","tg,bs,hf","0.000","","","","","","19","51","2244","2244","0.160","2458","1408","371","1476","2051","0.16","2892984","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","at.3","dve2C","tg,bs,hf","0.000","","","","","","12","57","2280","2280","8.030","1711620","29281","310","1018","2976","8.05","2936000","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","4977","4977","0.580","12642","2429","338","3351","5285","0.59","2893152","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","2147483647","collision.6","dve2C","tg,bs,hf","0.000","","","","","","26","64","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-loop","2147483647","telephony.8","dve2C","tg,bs,hf","","466","57905","63314","25.4485","27.6159","","","","","","","","","","","0.03","4140","","","","","","","","",
