"filename","filetype","event-span","event-span-norm","weighted-event-span","weighted-event-span-norm"
"peterson.1","dve2C",62,0.197,68.3,0.217
"peterson.2","dve2C",62,0.197,68.3,0.217
"peterson.3","dve2C",62,0.197,68.3,0.217
"peterson.4","dve2C",96,0.171,112,0.2
"peterson.5","dve2C",96,0.171,112,0.2
"peterson.6","dve2C",96,0.171,112,0.2
"peterson.7","dve2C",136,0.155,168,0.192
"pgm_protocol.1","dve2C",3273,0.22175,4248.7,0.28786
"pgm_protocol.2","dve2C",3210,0.21926,4200,0.28689
"pgm_protocol.3","dve2C",3254,0.21868,4260.3,0.28631
"pgm_protocol.4","dve2C",3210,0.21926,4200,0.28689
"pgm_protocol.5","dve2C",3254,0.21868,4260.3,0.28631
"pgm_protocol.6","dve2C",3281,0.217,4309.9,0.28504
"pgm_protocol.7","dve2C",3220,0.2164,4238.3,0.28483
"pgm_protocol.8","dve2C",3303,0.21673,4340.5,0.28481
"phils.1","dve2C",44,0.344,50,0.391
"phils.2","dve2C",104,0.315,122,0.37
"phils.3","dve2C",68,0.236,74.3,0.258
"phils.4","dve2C",332,0.3236,421.3,0.4106
"phils.5","dve2C",140,0.1215,147.3,0.1279
"phils.6","dve2C",176,0.09778,183.5,0.1019
"phils.7","dve2C",720,0.3419,942.4,0.4475
"phils.8","dve2C",188,0.0918,195.5,0.09546
"plc.1","dve2C",,,,
"plc.2","dve2C",,,,
"plc.3","dve2C",,,,
"plc.4","dve2C",,,,
"pouring.1","dve2C",5694,0.7054,7699,0.9538
"pouring.2","dve2C",6124,0.50746,6745.1,0.55893
"production_cell.1","dve2C",,,,
"production_cell.2","dve2C",114,0.244,128,0.273
"production_cell.3","dve2C",,,,
"production_cell.4","dve2C",190,0.264,268,0.372
"production_cell.5","dve2C",,,,
"production_cell.6","dve2C",,,,
"protocols.1","dve2C",,,,
"protocols.2","dve2C",43,0.181,51.1,0.215
"protocols.3","dve2C",56,0.194,68,0.236
"protocols.4","dve2C",56,0.194,68,0.236
"protocols.5","dve2C",56,0.194,68,0.236
"public_subscribe.1","dve2C",,,,
"public_subscribe.2","dve2C",948,0.294,1200,0.3721
"public_subscribe.3","dve2C",,,,
"public_subscribe.4","dve2C",,,,
"public_subscribe.5","dve2C",1879,0.2821,2253,0.3383
"reader_writer.1","dve2C",630,0.5645,878.4,0.7871
"reader_writer.2","dve2C",959,0.5638,1314,0.7723
"reader_writer.3","dve2C",1895,0.564,2646,0.7875
"resistance.1","dve2C",,,,
"resistance.2","dve2C",,,,
"rether.1","dve2C",325,0.335,428,0.442
"rether.2","dve2C",499,0.3287,658.2,0.4336
"rether.3","dve2C",1294,0.3331,1790,0.4607
"rether.4","dve2C",1713,0.2995,2196,0.384
"rether.5","dve2C",2458,0.3352,3478,0.4743
"rether.6","dve2C",2465,0.3002,3195,0.3891
"rether.7","dve2C",3439,0.33617,4912.4,0.4802
"rushhour.1","dve2C",,,,
"rushhour.2","dve2C",,,,
"rushhour.3","dve2C",,,,
"rushhour.4","dve2C",,,,
