"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"performance","error","boostperm","chain-prev","sat-like","40","true","true","eratosthenes-200.pnml","199","699","2097","0","tg,bs,hf","","","","","","","","","","","","0.11","8376","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","PolyORB-LF-S02-J04-T08-unfolded.pnml","614","1242","5732","0","tg,bs,hf","0.600","614","1242","","","","","","","","","1796.97","3095624","","","","","","",
"performance","oomem","mddtable","bfs","sat-like","40","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.240","168","592","","","","","","","","","1158.66","3946616","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1777.50","3939592","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","PolyORB-LF-S06-J04-T08-unfolded.pnml","810","14014","118428","0","tg,bs,hf","953.710","810","14014","","","","","","","","","1794.13","3469064","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","666","666","0.030","1501","349","248","248","208","0.04","2882460",
"performance","error","boostperm","chain","sat-like","40","true","true","eratosthenes-100.pnml","99","283","849","0","tg,bs,hf","","","","","","","","","","","","0.02","92","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.390","476","920","","","","","","","","","1793.79","3951584","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","Kanban-200.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1768.50","3939268","","","","","","",
"performance","oomem","mddtable","chain","sat-like","40","true","true","soli2.pnml","74","92","552","0","tg,bs,hf","0.010","74","92","","","","","","","","","630.34","3940392","","","","","","",
"statistics","done","","chain","sat-like","40","true","true","rwmutex-r10w2000.pnml","4030","4020","48060","0","tg,bs,hf","1050.930","4030","4020","208906","208906","281.780","3024","21592","96120","136126","4100060","1342.32","3184272","21592","605502","4275926","4098","328241806","165733137",
"performance","ootime","explore","bfs","sat-like","40","true","true","BridgeAndVehicles-V50-P50-N10-unfolded.pnml","128","1328","10010","0","tg,bs,hf","1.800","128","1328","","","","","","","","","1797.30","3354556","","","","","","",
"statistics","ootime","regroup","bfs-prev","sat-like","40","true","true","30-100_phaseVariation.pnml","2702","30977","215035","0","tg,bs,hf","","","","","","","","","","","","1795.37","598144","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","4032","4032","24.620","42734935","11992","2999","2744","4011","24.63","3050728",
"performance","ootime","regroup","chain-prev","sat-like","40","true","true","ARMCacheCoherence.pnml","87","33676","246935","87","tg,bs,hf","","","","","","","","","","","","1797.34","382276","","","","","","",
"performance","ootime","noresponse","chain","sat-like","40","true","true","sg-8-4-8.pnml","896","1056","4224","0","tg,bs,hf","0.170","896","1056","","","","","","","","","","","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","40","true","true","hc5k3p3b15.pnml","9153","25110","100440","0","tg,bs,hf","76.800","9153","25110","","","","","","","","","81.46","1201560","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","FMS-500.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1793.95","3936116","","","","","","",
