filename,filetype,order,saturation,sat.granularity,timeAvg,timeSd,solvedCount,peak.nodes,timeBest,memBest,timeMark,memMark,minMemMark,maxSolvedCount,minSd
schedule_world.3,dve2C,chain,sat-like,10,0.656,0.147437369,10,8356,0.656,8265,1,1.0110102843,1.0110102843,10,0.147437369
sg-2-1-2,pnml,chain,sat-like,1,1.728,0.1694304184,10,7666,1.728,7666,1,1,1,10,0.1694304184
shared_memory-pt-10,pnml,chain-prev,sat-like,5,2.678,0.1341475142,10,30896,2.678,30896,1,1,1,10,0.1341475142
shared_memory-pt-5,pnml,chain,sat-like,2147483647,0.023,0.0048304589,10,464,0.023,464,1,1,1,10,0.0048304589
simple_lbs-10,pnml,chain-prev,sat-like,5,1416.424,617.6167884916,3,,1416.424,,1,,,3,617.6167884916
simple_lbs-2,pnml,chain,sat-like,1,0.047,0.0067494856,10,866,0.047,866,1,1,1,10,0.0067494856
simple_lbs-5,pnml,chain-prev,sat-like,1,2.401,0.3045743843,10,9755,2.401,9755,1,1,1,10,0.3045743843
SmallOperatingSystem-MT0016DC0008,pnml,bfs-prev,sat-like,1,0.056,0.006992059,10,2473,0.056,2473,1,1,1,10,0.006992059
SmallOperatingSystem-MT0032DC0008,pnml,chain-prev,sat-like,1,0.166,0.0134989712,10,7873,0.166,7873,1,1,1,10,0.0134989712
SmallOperatingSystem-MT0032DC0016,pnml,bfs-prev,sat-like,1,0.398,0.020439613,10,14601,0.398,14601,1,1,1,10,0.020439613
SmallOperatingSystem-MT0064DC0016,pnml,bfs-prev,sat-like,1,1.373,0.0956904732,10,50233,1.373,50233,1,1,1,10,0.0956904732
SmallOperatingSystem-MT0064DC0032,pnml,chain-prev,sat-loop,10,4.021,0.1055619881,10,98569,4.021,98569,1,1,1,10,0.1055619881
SmallOperatingSystem-MT0128DC0032,pnml,bfs-prev,sat-like,1,15.465,1.5105499366,10,355177,15.465,355177,1,1,1,10,1.5105499366
SmallOperatingSystem-MT0128DC0064,pnml,chain-prev,sat-loop,20,51.667,1.3314240497,10,720393,51.667,720393,1,1,1,10,1.3314240497
SmallOperatingSystem-MT0256DC0064,pnml,chain-prev,sat-like,1,401.139,491.5846108352,9,2663113,401.139,2663113,1,1,1,9,491.5846108352
sokoban.1,dve2C,bfs-prev,sat-loop,5,7.281,0.388514264,10,12114,7.281,11917,1,1.0165310061,1.0165310061,10,0.388514264
sokoban.2,dve2C,bfs,sat-loop,2147483647,67.61,3.2815782111,10,77376,67.61,77008,1,1.0047787243,1.0047787243,10,3.2815782111
soli0_counter_square5,pnml,bfs-prev,sat-loop,2147483647,1199.07,775.7975040491,4,,1199.07,6259561,1,,,4,775.7975040491
soli0_square5,pnml,chain,sat-loop,40,17.805,1.6542823217,10,116286,17.805,95181,1,1.2217354304,1.2217354304,10,1.6542823217
sorter.1,dve2C,chain-prev,sat-like,80,0.138,0.0078881064,10,1921,0.138,1697,1,1.1319976429,1.1319976429,10,0.0078881064
sorter.2,dve2C,chain-prev,sat-loop,80,0.098,0.0063245553,10,1275,0.098,1260,1,1.0119047619,1.0119047619,10,0.0063245553
sorter.3,dve2C,chain-prev,sat-like,5,2.487,0.3192021303,10,20166,2.487,20166,1,1,1,10,0.3192021303
sorter.4,dve2C,chain-prev,sat-loop,40,19.717,0.5072595216,10,46938,19.717,34915,1,1.3443505657,1.3443505657,10,0.5072595216
sorter.5,dve2C,bfs-prev,sat-loop,10,1.559,0.0414862762,10,8798,1.559,8018,1,1.0972811175,1.0972811175,10,0.0414862762
SwimmingPool-1,pnml,chain-prev,sat-loop,5,0.113,0.008232726,10,6729,0.113,6729,1,1,1,10,0.008232726
SwimmingPool-2,pnml,chain-prev,sat-loop,5,1.176,0.1119722188,10,62174,1.176,62174,1,1,1,10,0.1119722188
SwimmingPool-3,pnml,chain-prev,sat-like,5,5.27,0.1825741858,10,254594,5.27,254594,1,1,1,10,0.1825741858
SwimmingPool-4,pnml,chain-prev,sat-loop,5,18.571,2.8482370766,10,718489,18.571,718489,1,1,1,10,2.8482370766
synapse.1,dve2C,bfs-prev,sat-loop,20,0.675,0.0254950976,10,13197,0.675,13182,1,1.0011379153,1.0011379153,10,0.0254950976
synapse.2,dve2C,bfs-prev,sat-loop,20,0.673,0.0205750658,10,10449,0.673,10011,1,1.0437518729,1.0437518729,10,0.0205750658
synapse.3,dve2C,bfs-prev,sat-loop,20,2.123,0.0585092585,10,30229,2.123,29215,1,1.0347081978,1.0347081978,10,0.0585092585
synapse.4,dve2C,bfs-prev,sat-like,1,6.577,0.1179500836,10,92425,6.577,92305,1,1.0013000379,1.0013000379,10,0.1179500836
synapse.5,dve2C,chain-prev,sat-like,1,2.11,0.0501109879,10,22810,2.11,22810,1,1,1,10,0.0501109879
synapse.6,dve2C,chain-prev,sat-loop,20,4.061,0.1002718527,10,44418,4.061,41006,1,1.0832073355,1.0832073355,10,0.1002718527
synapse.7,dve2C,bfs-prev,sat-like,10,17.756,0.5348353849,10,162064,17.756,161913,1,1.0009325996,1.0009325996,10,0.5348353849
tcp10,pnml,chain,sat-loop,10,63.921,2.9106831959,10,912129,63.921,912129,1,1,1,10,2.9106831959
tcp5,pnml,chain,sat-loop,10,1.279,0.1513237882,10,27672,1.279,27672,1,1,1,10,0.1513237882
TokenRing-10-unfolded,pnml,chain-prev,sat-like,1,1.724,0.2396849784,10,3160,1.724,3160,1,1,1,10,0.2396849784
TokenRing-15-unfolded,pnml,chain-prev,sat-like,40,35.636,2.3236953329,10,12893,35.636,12893,1,1,1,10,2.3236953329
TokenRing-20-unfolded,pnml,chain-prev,sat-like,1,1198.645,777.187507037,4,,1198.645,,1,,,4,777.187507037
TokenRing-5-unfolded,pnml,chain-prev,sat-like,1,0.049,0.0073786479,10,475,0.049,475,1,1,1,10,0.0073786479
trg_1-20-0,pnml,chain-prev,sat-like,80,0.398,0.024404007,10,7327,0.398,7327,1,1,1,10,0.024404007
trg_1-50-0,pnml,chain-prev,sat-loop,10,2.54,0.2800396797,10,40362,2.54,38422,1,1.0504919057,1.0504919057,10,0.2800396797
unf-8x8-4stageSEN-01,pnml,bfs-prev,sat-loop,2147483647,11.143,0.2590173739,10,71327,11.143,71327,1,1,1,10,0.2590173739
UtahNoC,pnml,chain-prev,sat-like,10,140.383,5.3566283965,10,43136,140.383,43136,1,1,1,10,5.3566283965
Vasy2003,pnml,chain,sat-loop,20,49.614,4.5302028407,10,259110,49.614,194929,1,1.3292532153,1.3292532153,10,4.5302028407
