"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"statistics","done","","bfs-prev","sat-like","2147483647","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.020","65","97","3104","3104","0.170","31745","657","407","275","260","0.39","2891976","2135","21091","13082","140","176171","200742",
"performance","oomem","mddtable","bfs-prev","sat-like","2147483647","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.010","75","92","","","","","","","","","1064.65","3940620","","","","","","",
"performance","done","","bfs","sat-like","2147483647","true","true","2D8_gradient_10x10_10.pnml","100","684","1368","0","tg,bs,hf","0.020","100","684","34884","34884","74.230","42634215112710","6490","58140","52668","45144","74.29","3099140",
"performance","error","boostperm","chain-prev","sat-like","2147483647","true","true","eratosthenes-200.pnml","199","699","2097","0","tg,bs,hf","","","","","","","","","","","","0.10","8380","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","PolyORB-LF-S02-J04-T08-unfolded.pnml","614","1242","5732","0","tg,bs,hf","0.650","614","1242","","","","","","","","","1796.07","3546276","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.210","168","592","","","","","","","","","1796.46","3859944","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1779.24","3939592","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","PolyORB-LF-S06-J04-T08-unfolded.pnml","810","14014","118428","0","tg,bs,hf","1077.020","810","14014","","","","","","","","","1794.86","3421584","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","666","666","0.020","1501","349","248","248","208","0.03","2888620",
"performance","error","boostperm","chain","sat-like","2147483647","true","true","eratosthenes-100.pnml","99","283","849","0","tg,bs,hf","","","","","","","","","","","","0.02","92","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.360","476","920","","","","","","","","","1793.56","3953632","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","Kanban-200.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1771.42","3939256","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","soli2.pnml","74","92","552","0","tg,bs,hf","0.010","74","92","","","","","","","","","784.75","3940380","","","","","","",
"statistics","done","","chain","sat-like","2147483647","true","true","rwmutex-r10w2000.pnml","4030","4020","48060","0","tg,bs,hf","866.480","4030","4020","8040","8040","153.870","3024","21592","96120","136126","4100060","1029.86","3181744","21592","298273","4199556","4098","58987549","36671101",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","BridgeAndVehicles-V50-P50-N10-unfolded.pnml","128","1328","10010","0","tg,bs,hf","1.870","128","1328","","","","","","","","","1794.68","3576840","","","","","","",
"statistics","ootime","regroup","bfs-prev","sat-like","2147483647","true","true","30-100_phaseVariation.pnml","2702","30977","215035","0","tg,bs,hf","","","","","","","","","","","","1797.70","597984","","","","","","",
