"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","bfs-prev","sat-loop","5","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","6055","6055","0.320","12642","2429","338","3351","5285","0.33","2893128","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-loop","5","collision.6","dve2C","tg,bs,hf","0.000","","","","","","26","64","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","chain-prev","sat-loop","5","telephony.8","dve2C","tg,bs,hf","","466","57905","63314","25.4485","27.6159","","","","","","","","","","","0.03","4132","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","peg_solitaire.5","dve2C","tg,bs,hf","1.400","","","","","","51","140","980","980","34.900","84191","28006","765152","3920840","11786740","36.70","3381640","","","","","","","","",
"statistics","ootime","explore","chain-prev","sat-loop","5","hanoi.3","dve2C","tg,bs,hf","0.010","262","34969","36816","14.516","15.242","57","6","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","4543","4543","0.310","12642","2429","338","3351","5285","0.31","2893120","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","pgm_protocol.4","dve2C","tg,bs,hf","0.010","","","","","","122","120","38985","38985","3.920","39832","58129","4941","17699","36106","3.95","2912104","","","","","","","","",
"performance","done","","chain","sat-loop","5","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","7339","7339","20.340","41465543","6175","492","1063","2038","20.35","3015936","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","80","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","5","telephony.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","extinction.1","dve2C","tg,bs,hf","0.000","","","","","","40","79","2797","2797","0.280","8993","4927","680","2079","2444","0.30","2893180","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","leader_filters.3","dve2C","tg,bs,hf","0.000","","","","","","23","40","2492","2492","0.810","91093","15511","991","2241","6942","0.83","2899172","","","","","","","","",
"performance","done","","bfs","sat-loop","5","lamport_nonatomic.5","dve2C","tg,bs,hf","0.030","","","","","","30","365","33980","33980","45.790","95118524","46765","1340","9066","25787","45.84","3107488","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","firewire_tree.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.09","16264","","","","","","","","",
"statistics","done","","bfs-prev","sat-loop","5","leader_filters.5","dve2C","tg,bs,hf","0.000","215","17469","19560","23.391","25.31","28","50","9817","9817","10.790","1572886","137867","2092","4887","36337","11.09","2975052","141935","7495350","6591077","10760110","4131422","1675","","","9354870",
"performance","done","","bfs-prev","sat-loop","5","cambridge.5","dve2C","tg,bs,hf","0.010","","","","","","32","58","16015","16015","10.490","698912","17522","29204","41150","371452","10.54","2952404","","","","","","","","",
"performance","done","","bfs","sat-loop","5","adding.2","dve2C","tg,bs,hf","0.000","","","","","","5","6","366","366","170.810","836838","375982","98701","373104","461562","170.96","3280044","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","peterson.6","dve2C","tg,bs,hf","0.000","","","","","","20","28","1988","1988","25.590","174495861","64009","865","536","30916","25.61","3152956","","","","","","","","",
"statistics","done","","bfs","sat-loop","5","fischer.1","dve2C","tg,bs,hf","0.000","40","906","1040","6.984","7.354","8","19","451","451","0.010","634","244","101","232","392","0.10","2892880","11562","16413","2631","100","","","16738",
"performance","done","","bfs-prev","sat-loop","5","peg_solitaire.4","dve2C","tg,bs,hf","0.070","","","","","","27","60","1380","1380","183.900","873326","123054","3350225","7383240","52399560","185.58","3837300","","","","","","","","",
"performance","done","","bfs","sat-loop","5","lann.6","dve2C","tg,bs,hf","0.000","","","","","","20","40","8332","8332","78.210","144151628","98221","315","490","1082","78.24","3640536","","","","","","","","",
"performance","done","","bfs","sat-loop","5","cyclic_scheduler.2","dve2C","tg,bs,hf","0.000","","","","","","20","30","878","878","0.030","3302","179","149","285","267","0.04","2892960","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","lamport.8","dve2C","tg,bs,hf","0.000","","","","","","17","70","21752","21752","71.770","62669317","51915","558","1297","5245","71.80","3767564","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","bridge.1","dve2C","tg,bs,hf","0.000","","","","","","10","41","1423","1423","0.100","3186","1484","798","2898","9948","0.11","2893008","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","mcs.6","dve2C","tg,bs,hf","0.000","","","","","","21","65","2143","2143","0.230","332544","3170","232","921","1260","0.23","2895108","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","synapse.2","dve2C","tg,bs,hf","0.010","","","","","","22","149","6553","6553","1.130","61048","9284","1420","8544","28636","1.16","2897352","","","","","","","","",
"performance","done","","bfs","sat-loop","5","elevator.3","dve2C","tg,bs,hf","0.000","","","","","","38","52","4392","4392","17.390","416935","156712","1605","3030","15660","17.43","2958576","","","","","","","","",
"performance","done","","bfs","sat-loop","5","krebs.4","dve2C","tg,bs,hf","0.010","","","","","","20","22","1548","1548","7.070","1047405","43172","23783","26082","313471","7.11","2946168","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","telephony.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs","sat-loop","5","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","17422","17422","76.570","41387484","95004","4223","12799","54651","76.61","3175676","","","","","","","","",
