"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain","sat-like","2147483647","erk-000001","pnml","tg,bs,hf","0.000","","","","","","11","11","55","55","0.000","13","27","68","79","43","0.01","1793320","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","SwimmingPool-1","pnml","tg,bs,hf","0.000","","","","","","9","7","168","168","0.200","89621","6729","1705","1365","5327","0.21","2893020","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","echo-d2r11","pnml","tg,bs,hf","0.200","","","","","","1119","874","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","HouseConstruction-002","pnml","tg,bs,hf","0.000","","","","","","26","18","198","198","0.010","1501","349","248","248","208","0.02","2893176","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","TokenRing-10-unfolded","pnml","tg,bs,hf","0.230","","","","","","121","1111","144430","144430","4.830","58905","3160","2040","8696","5838","5.14","2918576","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","BridgeAndVehicles-V20-P10-N10-unfolded","pnml","tg,bs,hf","0.320","","","","","","68","548","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","echo-d3r3","pnml","tg,bs,hf","0.030","","","","","","265","206","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","2D8_gradient_5x5_350","pnml","tg,bs,hf","0.000","","","","","","25","144","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","Kanban-100","pnml","tg,bs,hf","0.000","","","","","","16","16","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","2147483647","SwimmingPool-2","pnml","tg,bs,hf","0.000","","","","","","9","7","1407","1407","33.960","3408031","62174","6035","4735","35247","33.99","2928168","","","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","2147483647","angiogenesis-50","pnml","tg,bs,hf","0.000","206","14587","16457","18.274","19.476","39","64","","","","","","","","","","","","","","","","","","",
"performance","oomem","alloc","bfs","sat-like","2147483647","Philosophers-5000","pnml","tg,bs,hf","42.900","","","","","","25000","25000","","","","","","","","","47.25","3399048","","","","","","","","",
