"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","ootime","explore","chain","sat-like","30","true","true","PolyORB-LF-S02-J06-T10-unfolded.pnml","844","1812","8302","0","tg,bs,hf","1.220","844","1812","","","","","","","","","1797.39","3134808","","","","","","",
"statistics","done","","bfs-prev","sat-like","30","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.010","65","97","2331","2331","0.090","31745","657","407","275","260","0.30","2863796","750","8897","10403","140","79057","97084",
"performance","oomem","mddtable","bfs-prev","sat-like","30","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.020","75","92","","","","","","","","","607.31","3940532","","","","","","",
"performance","done","","bfs","sat-like","30","true","true","2D8_gradient_10x10_10.pnml","100","684","1368","0","tg,bs,hf","0.030","100","684","24344","24344","24.540","42634215112710","6490","58140","52668","45144","24.59","2966012",
"performance","error","boostperm","chain-prev","sat-like","30","true","true","eratosthenes-200.pnml","199","699","2097","0","tg,bs,hf","","","","","","","","","","","","0.10","8376","","","","","","",
"performance","ootime","explore","bfs","sat-like","30","true","true","PolyORB-LF-S02-J04-T08-unfolded.pnml","614","1242","5732","0","tg,bs,hf","0.660","614","1242","","","","","","","","","1797.11","3043296","","","","","","",
"performance","oomem","mddtable","bfs","sat-like","30","true","true","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","1528.75","3946612","","","","","","",
"performance","ootime","explore","bfs","sat-like","30","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1773.18","3941652","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","PolyORB-LF-S06-J04-T08-unfolded.pnml","810","14014","118428","0","tg,bs,hf","1047.730","810","14014","","","","","","","","","1787.20","3459392","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","666","666","0.020","1501","349","248","248","208","0.03","2888628",
"performance","error","boostperm","chain","sat-like","30","true","true","eratosthenes-100.pnml","99","283","849","0","tg,bs,hf","","","","","","","","","","","","0.01","92","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.390","476","920","","","","","","","","","1794.14","3941348","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","Kanban-200.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1774.56","3939272","","","","","","",
"performance","oomem","mddtable","chain","sat-like","30","true","true","soli2.pnml","74","92","552","0","tg,bs,hf","0.010","74","92","","","","","","","","","1754.04","3940392","","","","","","",
"statistics","done","","chain","sat-like","30","true","true","rwmutex-r10w2000.pnml","4030","4020","48060","0","tg,bs,hf","908.500","4030","4020","277866","277866","344.970","3024","21592","96120","136126","4100060","1263.02","3184808","21592","761824","4344283","4098","418487080","210832347",
"performance","ootime","explore","bfs","sat-like","30","true","true","BridgeAndVehicles-V50-P50-N10-unfolded.pnml","128","1328","10010","0","tg,bs,hf","2.050","128","1328","","","","","","","","","1795.99","3850492","","","","","","",
"statistics","ootime","regroup","bfs-prev","sat-like","30","true","true","30-100_phaseVariation.pnml","2702","30977","215035","0","tg,bs,hf","","","","","","","","","","","","1794.98","598104","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","3390","3390","4.620","42734935","11992","2999","2744","4011","4.63","2934004",
"performance","ootime","regroup","chain-prev","sat-like","30","true","true","ARMCacheCoherence.pnml","87","33676","246935","87","tg,bs,hf","","","","","","","","","","","","1796.01","381960","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","sg-8-4-8.pnml","896","1056","4224","0","tg,bs,hf","0.180","896","1056","","","","","","","","","1792.90","3951604","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","30","true","true","hc5k3p3b15.pnml","9153","25110","100440","0","tg,bs,hf","69.320","9153","25110","","","","","","","","","73.74","1202568","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","FMS-500.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1791.81","3936116","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","2-100_phaseVariation.pnml","14","65","443","0","tg,bs,hf","0.000","14","65","","","","","","","","","1777.69","3939832","","","","","","",
"performance","ootime","explore","bfs","sat-like","30","true","true","PolyORB-NT-S10-J20-unfolded.pnml","474","11760","111119","0","tg,bs,hf","1005.340","474","11760","","","","","","","","","1793.28","3313120","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","30","true","true","HouseConstruction-100.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","","","","","","","","","1778.68","3941332","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","30","true","true","TokenRing-50-unfolded.pnml","2601","127551","510204","0","tg,bs,hf","1498.330","2601","127551","","","","","","","","","1508.92","1828992","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","echo-d2r19.pnml","3455","2730","15940","0","tg,bs,hf","1.460","3455","2730","","","","","","","","","1795.25","4003192","","","","","","",
"performance","done","","chain-prev","sat-like","30","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","24554","24554","13.450","11329291100161","16311","718","502","1556","13.47","2934668",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.790","1408","2400","","","","","","","","","1778.37","3965200","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.730","1408","2400","","","","","","","","","1755.19","3965200","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","SwimmingPool-8.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","","","","","","","","","1762.80","3941128","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","20-100_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","233.630","1202","13457","","","","","","","","","1783.02","4108916","","","","","","",
"statistics","ootime","explore","chain","sat-like","30","true","true","rwmutex-r1000w10.pnml","3020","2020","26040","0","tg,bs,hf","299.370","3020","2020","","","","","","","","","1795.79","2962212","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","closed_system2.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","21631","21631","4.030","349874","8904","1446","1944","1053","4.07","2898924",
"performance","ootime","explore","chain","sat-like","30","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.650","138","2348","","","","","","","","","1797.09","3012384","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","unf-8x8-4stageSEN-02.pnml","168","592","3456","0","tg,bs,hf","0.210","168","592","","","","","","","","","1783.42","3948668","","","","","","",
"performance","oomem","mddtable","bfs","sat-like","30","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.240","168","592","","","","","","","","","1622.98","3946612","","","","","","",
"performance","done","","bfs","sat-like","30","true","true","Philosophers-500.pnml","2500","2500","8000","0","tg,bs,hf","0.530","2500","2500","23511","23511","34.440","3.636029179587e+238","16679","16000","22119","14000","36.90","3341160",
"performance","done","","bfs-prev","sat-like","30","true","true","lamport_fmea-2.pnml","69","96","402","0","tg,bs,hf","0.010","69","96","1524","1524","0.080","380","888","344","723","409","0.09","2891392",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","2D8_gradient_40x40_100.pnml","1600","12324","24648","0","tg,bs,hf","3.450","1600","12324","","","","","","","","","1773.96","4062820","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","2D8_gradient_50x50_150.pnml","2500","19404","38808","0","tg,bs,hf","7.270","2500","19404","","","","","","","","","1792.61","4226612","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","sg-13-6-13.pnml","2301","2756","11024","0","tg,bs,hf","0.830","2301","2756","","","","","","","","","1795.64","3699636","","","","","","",
"performance","done","","bfs","sat-like","30","true","true","2D8_gradient_20x20_10.pnml","400","2964","5928","0","tg,bs,hf","0.280","400","2964","135212","135212","350.060","3.23081977575776e+19","26290","251940","228228","195624","350.72","3853740",
"performance","ootime","explore","chain","sat-like","30","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.720","1408","2400","","","","","","","","","1789.84","3962612","","","","","","",
"performance","done","","chain","sat-like","30","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.000","139","87","7167","7167","2.470","902651904000","4834","772","1081","751","2.48","2899236",
"performance","done","","bfs","sat-like","30","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.000","65","97","2331","2331","0.070","31745","657","407","275","260","0.07","2757964",
"performance","done","","chain","sat-like","30","true","true","CircularTrain-096.pnml","192","96","384","0","tg,bs,hf","0.000","192","96","20785","20785","9.990","2.59130027829661e+21","16297","896","1102","928","10.01","2910068",
"performance","done","","chain","sat-like","30","true","true","RAS-C-15.pnml","90","60","264","0","tg,bs,hf","0.000","90","60","280","280","0.080","578878464","768","528","908","746","0.11","2564472",
"performance","oomem","mddtable","chain","sat-like","30","true","true","QCertifProtocol_22-unfold.pnml","1966","356","4323","0","tg,bs,hf","0.460","1966","356","","","","","","","","","99.95","3923372","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","PolyORB-LF-S06-J06-T08-unfolded.pnml","894","14334","119772","0","tg,bs,hf","1378.420","894","14334","","","","","","","","","1791.95","3219436","","","","","","",
"performance","done","","chain","sat-like","30","true","true","shared_memory-pt-5.pnml","41","55","200","0","tg,bs,hf","0.000","41","55","198","198","0.010","1863","464","390","539","340","0.02","2877468",
"performance","done","","chain","sat-like","30","true","true","rwmutex-r20w10.pnml","80","60","560","0","tg,bs,hf","0.010","80","60","166","166","18.030","1048586","1608","1120","1550","20971660","18.04","2891560",
"performance","ootime","explore","chain","sat-like","30","true","true","PolyORB-LF-S04-J04-T10-unfolded.pnml","870","5034","34774","0","tg,bs,hf","43.360","870","5034","","","","","","","","","1795.86","3068780","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","BridgeAndVehicles-V80-P50-N20-unfolded.pnml","198","3728","28830","0","tg,bs,hf","16.360","198","3728","","","","","","","","","1791.76","3316612","","","","","","",
"performance","done","","bfs-prev","sat-like","30","true","true","RAS-R-100.pnml","400","202","1000","0","tg,bs,hf","0.020","400","202","182506","182506","19.130","6.46501806116397e+31","1391","2000","2598","1596","19.18","2974440",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","TokenRing-30-unfolded.pnml","961","27931","111724","0","tg,bs,hf","90.720","961","27931","","","","","","","","","1796.50","3611064","","","","","","",
"statistics","error","boostperm","bfs","sat-like","30","true","true","eratosthenes-050.pnml","49","108","324","0","tg,bs,hf","","","","","","","","","","","","0.01","92","","","","","","",
"performance","ootime","explore","chain","sat-like","30","true","true","Peterson-6.pnml","1330","2030","6272","0","tg,bs,hf","0.750","1330","2030","","","","","","","","","1795.50","3267516","","","","","","",
"performance","sigsegfault","sendinfo","bfs-prev","sat-like","30","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","41.57","158664","","","","","","",
"performance","ootime","regroup","bfs","sat-like","30","true","true","galloc_res-5.pnml","75","56105","492760","0","tg,bs,hf","","","","","","","","","","","","1795.25","1047212","","","","","","",
"performance","done","","chain","sat-like","30","true","true","erk-000001.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","55","55","0.000","13","27","68","79","43","0.00","1612552",
