"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","bfs-prev","none","","phils.2","dve2C","tg,bs,hf","0.000","","","","","","11","30","390","390","0.000","581","148","150","227","290","0.01","2823224","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","telephony.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","production_cell.6","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","88","","","","","","","","",
"performance","done","","bfs","none","","lifts.2","dve2C","tg,bs,hf","0.000","","","","","","22","135","7830","7830","0.460","2664","3557","918","11223","15998","0.47","2893280","","","","","","","","",
"performance","done","","bfs","none","","extinction.4","dve2C","tg,bs,hf","0.000","","","","","","49","120","17160","17160","59.360","2001372","155410","1208","3452","5543","59.41","3219044","","","","","","","","",
"performance","done","","chain","none","","krebs.2","dve2C","tg,bs,hf","0.000","","","","","","19","16","528","528","1.340","62476","6670","7193","8305","58311","1.36","2905152","","","","","","","","",
"performance","done","","chain","none","","leader_election.2","dve2C","tg,bs,hf","0.000","","","","","","91","95","6460","6460","1.100","28720","7830","3463","4754","4903","1.12","2895504","","","","","","","","",
"statistics","done","","bfs-prev","none","","peterson.5","dve2C","tg,bs,hf","0.000","73","1804","2186","6.5603","6.9932","20","28","2660","2660","11.020","131064750","10285","798","762","28983","11.26","3052760","103149","16418393","1745300","18081436","1023160","941","","","12325590",
"performance","done","","chain-prev","none","","leader_filters.7","dve2C","tg,bs,hf","0.000","","","","","","30","60","2040","2040","101.140","26302351","931027","2786","6219","103194","101.41","3497248","","","","","","","","",
"performance","done","","bfs-prev","none","","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","6195","6195","127.750","142471098","64853","5334","5534","159088","127.77","3835708","","","","","","","","",
"performance","error","boostperm","bfs","none","","szymanski.5","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","80","","","","","","","","",
"performance","error","boostperm","bfs","none","","resistance.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","plc.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","4940","","","","","","","","",
"performance","ootime","explore","chain","none","","elevator.5","dve2C","tg,bs,hf","0.000","","","","","","54","68","","","","","","","","","","","","","","","","","","",
