"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","max-tokens","time","memory","bandwidth","profile","span","average-wavefront","RMS-wavefront","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"statistics","ootime","noresponse","chain-prev","sat-like","5","true","false","CircularTrain-384.pnml","768","384","1536","0","tg,bs,hf","0.440","768","384","","","","","","","","","","","","48","50614","62376","10.52902","10.57196","","","","","","",
"performance","sigsegfault","sendinfo","chain-prev","sat-like","5","true","false","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","","40.05","165924","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.140","138","2348","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","PolyORB-LF-S02-J06-T10-unfolded.pnml","844","1812","8302","0","tg,bs,hf","1.100","844","1812","","","","","","","","","","","","","","","","","","","","","","",
"statistics","done","","bfs-prev","sat-like","5","true","false","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.010","65","97","2110","2110","0.080","31745","657","407","275","260","1","0.20","2893748","326","20705","24375","23.4793","25.1232","704","62097","12509","140","69860",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.020","75","92","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","5","true","false","2D8_gradient_10x10_10.pnml","100","684","1368","0","tg,bs,hf","0.030","100","684","13300","13300","4.010","42634215112710","6490","58140","52668","45144","10","4.07","2936072","","","","","",
"performance","error","boostperm","chain-prev","sat-like","5","true","false","eratosthenes-200.pnml","199","699","2097","0","tg,bs,hf","","","","","","","","","","","","","0.11","9336","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","PolyORB-LF-S02-J04-T08-unfolded.pnml","614","1242","5732","0","tg,bs,hf","0.620","614","1242","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","unf-8x8-4stageSEN-20.pnml","168","592","3456","0","tg,bs,hf","0.190","168","592","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","PolyORB-LF-S06-J04-T08-unfolded.pnml","810","14014","118428","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","204","204","0.020","1501","349","248","248","208","2","0.03","346044","","","","","",
"performance","error","boostperm","chain","sat-like","5","true","false","eratosthenes-100.pnml","99","283","849","0","tg,bs,hf","","","","","","","","","","","","","0.02","5388","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.360","476","920","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","Kanban-200.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","soli2.pnml","74","92","552","0","tg,bs,hf","0.010","74","92","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","noresponse","chain","sat-like","5","true","false","rwmutex-r10w2000.pnml","4030","4020","48060","0","tg,bs,hf","","","","","","","","","","","","","","","56083","1295495528","1316329783","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","BridgeAndVehicles-V50-P50-N10-unfolded.pnml","128","1328","10010","0","tg,bs,hf","1.710","128","1328","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","noresponse","bfs-prev","sat-like","5","true","false","30-100_phaseVariation.pnml","2702","30977","215035","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","2082","2082","1.680","42734935","11992","2999","2744","4011","5","1.69","2918128","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","ARMCacheCoherence.pnml","87","33676","246935","87","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","sg-8-4-8.pnml","896","1056","4224","0","tg,bs,hf","0.140","896","1056","","","","","","","","","","","","","","","","","","","","","","",
"performance","oomem","alloc","chain-prev","sat-like","5","true","false","hc5k3p3b15.pnml","9153","25110","100440","0","tg,bs,hf","78.360","9153","25110","","","","","","","","","","80.53","1245608","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","FMS-500.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","2-100_phaseVariation.pnml","14","65","443","0","tg,bs,hf","0.000","14","65","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","PolyORB-NT-S10-J20-unfolded.pnml","474","11760","111119","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","noresponse","bfs-prev","sat-like","5","true","false","HouseConstruction-100.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","","","","","","","","","","","","32","1041","1252","6.505","6.829","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","TokenRing-50-unfolded.pnml","2601","127551","510204","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","echo-d2r19.pnml","3455","2730","15940","0","tg,bs,hf","1.320","3455","2730","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","78349","78349","16.490","11329291100161","16311","718","502","1556","1","16.51","3047776","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.730","1408","2400","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.740","1408","2400","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","SwimmingPool-8.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","20-100_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","232.700","1202","13457","","","","","","","","","","","","","","","","","","","","","","",
"statistics","ootime","noresponse","chain","sat-like","5","true","false","rwmutex-r1000w10.pnml","3020","2020","26040","0","tg,bs,hf","","","","","","","","","","","","","","","31035","327644880","328328688","47.7841699","","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","closed_system2.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","10556","10556","3.370","349874","8904","1446","1944","1053","1","3.40","2908048","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","5.750","138","2348","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","unf-8x8-4stageSEN-02.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","","","","","","","","","","","","","","",
"performance","oomem","mddtable","bfs","sat-like","5","true","false","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.230","168","592","","","","","","","","","","330.49","3842160","","","","","","","","","","","",
"performance","done","","bfs","sat-like","5","true","false","Philosophers-500.pnml","2500","2500","8000","0","tg,bs,hf","0.480","2500","2500","13873","13873","26.330","3.636029179587e+238","16679","16000","22119","14000","1","28.99","3223424","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","lamport_fmea-2.pnml","69","96","402","0","tg,bs,hf","0.010","69","96","2329","2329","0.140","380","888","344","723","409","1","0.17","2715824","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","2D8_gradient_40x40_100.pnml","1600","12324","24648","0","tg,bs,hf","3.110","1600","12324","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","2D8_gradient_50x50_150.pnml","2500","19404","38808","0","tg,bs,hf","7.260","2500","19404","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","sg-13-6-13.pnml","2301","2756","11024","0","tg,bs,hf","0.780","2301","2756","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","5","true","false","2D8_gradient_20x20_10.pnml","400","2964","5928","0","tg,bs,hf","0.290","400","2964","57894","57894","63.360","3.23081977575776e+19","26290","251940","228228","195624","10","64.08","3452400","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.730","1408","2400","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","5","true","false","ring.pnml","139","87","410","0","tg,bs,hf","0.010","139","87","8804","8804","3.250","902651904000","4834","772","1081","751","1","3.28","2916440","","","","","",
"performance","done","","bfs","sat-like","5","true","false","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.000","65","97","2110","2110","0.090","31745","657","407","275","260","1","0.11","2893612","","","","","",
"performance","done","","chain","sat-like","5","true","false","CircularTrain-096.pnml","192","96","384","0","tg,bs,hf","0.000","192","96","12195","12195","11.980","2.59130027829661e+21","16297","896","1102","928","2","12.01","3004776","","","","","",
"performance","done","","chain","sat-like","5","true","false","RAS-C-15.pnml","90","60","264","0","tg,bs,hf","0.000","90","60","481","481","0.030","578878464","768","528","908","746","1","0.05","2894840","","","","","",
"performance","done","","chain","sat-like","5","true","false","QCertifProtocol_22-unfold.pnml","1966","356","4323","0","tg,bs,hf","0.410","1966","356","14","14","0.020","2","2110","50","189","13","13","0.94","2920900","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","PolyORB-LF-S06-J06-T08-unfolded.pnml","894","14334","119772","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","5","true","false","shared_memory-pt-5.pnml","41","55","200","0","tg,bs,hf","0.000","41","55","310","310","0.010","1863","464","390","539","340","1","0.03","2894296","","","","","",
"performance","done","","chain","sat-like","5","true","false","rwmutex-r20w10.pnml","80","60","560","0","tg,bs,hf","0.000","80","60","262","262","17.020","1048586","1608","1120","1550","20971660","1","17.04","2893992","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","PolyORB-LF-S04-J04-T10-unfolded.pnml","870","5034","34774","0","tg,bs,hf","46.110","870","5034","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","BridgeAndVehicles-V80-P50-N20-unfolded.pnml","198","3728","28830","0","tg,bs,hf","17.700","198","3728","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","RAS-R-100.pnml","400","202","1000","0","tg,bs,hf","0.020","400","202","65938","65938","15.790","6.46501806116397e+31","1391","2000","2598","1596","1","15.84","3029464","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","TokenRing-30-unfolded.pnml","961","27931","111724","0","tg,bs,hf","96.310","961","27931","","","","","","","","","","","","","","","","","","","","","","",
"statistics","error","boostperm","bfs","sat-like","5","true","false","eratosthenes-050.pnml","49","108","324","0","tg,bs,hf","","","","","","","","","","","","","0.01","92","312","26366","29732","23.3083","25.3322","","","","","","",
"performance","ootime","noresponse","chain","sat-like","5","true","false","Peterson-6.pnml","1330","2030","6272","0","tg,bs,hf","0.690","1330","2030","","","","","","","","","","","","","","","","","","","","","","",
"performance","sigsegfault","sendinfo","bfs-prev","sat-like","5","true","false","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","","39.86","165460","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","galloc_res-5.pnml","75","56105","492760","0","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","5","true","false","erk-000001.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","49","49","0.000","13","27","68","79","43","1","0.01","1639740","","","","","",
"performance","done","","chain","sat-like","5","true","false","SwimmingPool-1.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","276","276","0.150","89621","6729","1705","1365","5327","20","0.15","2893020","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","echo-d2r11.pnml","1119","874","4996","0","tg,bs,hf","0.210","1119","874","","","","","","","","","","","","","","","","","","","","","","",
